Carimbo de data/hora,Nome completo,Email,Cidade
2026-04-17 09:00:00,Everton Dias,everton.dias@gmail.com,Apucarana
2026-04-17 09:01:00,Bruno Azevedo,bruno.azevedo@gmail.com,Paranaguá
2026-04-17 09:02:00,Michele Pires,michele.pires@gmail.com,Toledo
2026-04-17 09:03:00,Elaine Pinto,elaine.pinto@gmail.com,Cascavel
2026-04-17 09:04:00,Karina Castro,karina.castro@gmail.com,Francisco Beltrão
2026-04-17 09:05:00,Marcos Freitas,marcos.freitas@gmail.com,Francisco Beltrão
2026-04-17 09:06:00,Rodrigo Tavares,rodrigo.tavares@gmail.com,Apucarana
2026-04-17 09:07:00,Alex Oliveira,alex.oliveira@gmail.com,Umuarama
2026-04-17 09:08:00,Priscila Almeida,priscila.almeida@gmail.com,Cascavel
2026-04-17 09:09:00,Lilian Correia,lilian.correia@gmail.com,Foz do Iguaçu
2026-04-17 09:10:00,Letícia Araújo,leticia.araujo@gmail.com,Londrina
2026-04-17 09:11:00,Camila Cardoso,camila.cardoso@gmail.com,Apucarana
2026-04-17 09:12:00,Isabela Pinto,isabela.pinto@gmail.com,Cascavel
2026-04-17 09:13:00,Luana Rodrigues,luana.rodrigues@gmail.com,Umuarama
2026-04-17 09:14:00,William Fernandes,william.fernandes@gmail.com,Apucarana
2026-04-17 09:15:00,Fábio Azevedo,fabio.azevedo@gmail.com,Ponta Grossa
2026-04-17 09:16:00,Renato Barbosa,renato.barbosa@gmail.com,Umuarama
2026-04-17 09:17:00,Larissa Gonçalves,larissa.goncalves@gmail.com,Maringá
2026-04-17 09:18:00,Fábio Nascimento,fabio.nascimento@gmail.com,Curitiba
2026-04-17 09:19:00,Danilo Cardoso,danilo.cardoso@gmail.com,Apucarana
2026-04-17 09:20:00,Murilo Teixeira,murilo.teixeira@gmail.com,Ponta Grossa
2026-04-17 09:21:00,Felipe Ferreira,felipe.ferreira@gmail.com,Toledo
2026-04-17 09:22:00,Danilo Campos,danilo.campos@gmail.com,Ponta Grossa
2026-04-17 09:23:00,Fábio Rodrigues,fabio.rodrigues@gmail.com,Paranavaí
2026-04-17 09:24:00,Wesley Santos,wesley.santos@gmail.com,Francisco Beltrão
2026-04-17 09:25:00,Paulo Moreira,paulo.moreira@gmail.com,Maringá
2026-04-17 09:26:00,Danilo Carvalho,danilo.carvalho@gmail.com,Londrina
2026-04-17 09:27:00,Sérgio Moura,sergio.moura@gmail.com,Paranaguá
2026-04-17 09:28:00,Everton Silva,everton.silva@gmail.com,Londrina
2026-04-17 09:29:00,Márcio Correia,marcio.correia@gmail.com,Francisco Beltrão
2026-04-17 09:30:00,William Santos,william.santos@gmail.com,Maringá
2026-04-17 09:31:00,Paulo Rezende,paulo.rezende@gmail.com,Campo Mourão
2026-04-17 09:32:00,Fernando Mendes,fernando.mendes@gmail.com,Foz do Iguaçu
2026-04-17 09:33:00,Henrique Carvalho,henrique.carvalho@gmail.com,Apucarana
2026-04-17 09:34:00,André Batista,andre.batista@gmail.com,Cascavel
2026-04-17 09:35:00,Lilian Nunes,lilian.nunes@gmail.com,Apucarana
2026-04-17 09:36:00,Fábio Rocha,fabio.rocha@gmail.com,Guarapuava
2026-04-17 09:37:00,Priscila Cardoso,priscila.cardoso@gmail.com,Paranaguá
2026-04-17 09:38:00,Sérgio Amorim,sergio.amorim@gmail.com,Apucarana
2026-04-17 09:39:00,Cláudia Cunha,claudia.cunha@gmail.com,Francisco Beltrão
2026-04-17 09:40:00,Sabrina Pinto,sabrina.pinto@gmail.com,Foz do Iguaçu
2026-04-17 09:41:00,Rogério Cardoso,rogerio.cardoso@gmail.com,Londrina
2026-04-17 09:42:00,Simone Rodrigues,simone.rodrigues@gmail.com,Maringá
2026-04-17 09:43:00,Vanessa Rodrigues,vanessa.rodrigues@gmail.com,Apucarana
2026-04-17 09:44:00,Vinícius Medeiros,vinicius.medeiros@gmail.com,Londrina
2026-04-17 09:45:00,Beatriz Vieira,beatriz.vieira@gmail.com,Campo Mourão
